universe,factor,variant,ic_mean,icir,rankic_mean,rankicir,ic_win_rate,n_months,g1_ann,gN_ann,ls_ann,ls_sharpe,ls_ann_gross,ls_sharpe_gross,turnover_mean,bench_ann
zz500,A1v_tau_vol_20d,S1,0.004610673419474604,0.22225718220782115,0.004423167510881884,0.21469294818392035,0.525,120,-0.0896048320695102,-0.06866715686406943,-0.10459898451368232,-1.2398280127265107,0.0169120477597815,0.23817251238309012,9.027681779978474,-0.025198620272763428
zz500,A2a_high_tau_ret_std_20d,S1,-0.012540713714558149,-0.5136558103916705,-0.028801888300333013,-1.1464117474259596,0.425,120,-0.031127651446757998,-0.054115668344342116,-0.07640469957820106,-0.6913143248912271,-0.023412627274482345,-0.22508929739374747,5.237937251713342,-0.025198620272763428
zz500,A2b_low_tau_cum_ret_20d,S1,-0.013993491717941524,-0.6081516044099301,-0.02056978925800855,-0.8904433034598139,0.43333333333333335,120,-0.05424577555991361,-0.10011887199766933,-0.14086534308922205,-1.6031643260754398,-0.04821204532849621,-0.5776068862132164,7.681441381910393,-0.025198620272763428
zz500,A2c_high_tau_vol_share_20d,S1,0.03738802715351846,1.2302212229014744,0.06611788860537861,2.177692014135841,0.65,120,-0.1120290903345651,-0.008079462912273017,0.005535763159207896,0.04651358994199813,0.0941935828299616,0.8396692979083002,7.011614346503446,-0.025198620272763428
zz500,A2d_high_tau_turnover_20d,S1,-0.026242749061813307,-0.7860461033181819,-0.0529404519340371,-1.7977413284585495,0.4,120,-0.022864768780499478,-0.08135313786686826,-0.10590430422117114,-0.9156721858463225,-0.04862773671568066,-0.4241505766727562,5.4690693557306895,-0.025198620272763428
zz500,A3_tort_vol_joint_20d,S1,0.036726317321029565,1.3148013800069263,0.06321485181201532,2.2758032362029574,0.6666666666666666,120,-0.11199319261635876,-0.01660425369987384,0.0028890605492049026,0.027380528468530573,0.09155945023910617,0.8876550155461087,7.057985919824116,-0.025198620272763428
zz500,B1_lead_lag_20d,S1,0.014530600099459041,0.998428079139127,0.012947846242350791,0.8482547701609036,0.6166666666666667,120,-0.10163121588817225,-0.056577502771067545,-0.06491641464989806,-1.1345284200486156,0.04953319031708481,0.9662935228069376,8.218577091862194,-0.025198620272763428
zz500,B2_path_asym_20d,S1,-0.0037674737441129188,-0.20156074284891703,-0.013914528231903074,-0.6914304295207714,0.5333333333333333,120,-0.07697676996395453,-0.0777284423003225,-0.10996748174100379,-1.6448242301263403,-0.004716787596002581,-0.0762259643241357,8.064888740889558,-0.025198620272763428
zz500,B2a_path_asym_amt_20d,S1,-0.004246097258434113,-0.2261315388652145,-0.014203874034364131,-0.7048305738679086,0.525,120,-0.07799876562680064,-0.07840872770804552,-0.10962330561458045,-1.5969560742707907,-0.004304629168991214,-0.06747686566101696,8.06565099363621,-0.025198620272763428
zz500,B3_cond_lead_lag_20d,S1,-0.019370783641255204,-1.188811040633729,-0.014379103303982062,-0.899474031544028,0.3333333333333333,120,-0.030895487391029652,-0.10110244762009912,-0.16748970030119137,-2.2549745671551045,-0.07505731095034773,-1.1877209847495145,7.80248855745387,-0.025198620272763428
zz500,B4_cross_20d,S1,-0.01068787044747478,-0.7372061823926747,-0.01547319634411705,-1.0754811628541934,0.425,120,-0.06731133726515737,-0.08595196924232318,-0.1268971512693171,-2.575659533233094,-0.0199017158761573,-0.42657537911577487,8.192023258544607,-0.025198620272763428
zz500,B5a_corr_decay_20d,S1,-0.014406672211812,-0.8909406929787589,-0.012858677783795902,-0.8072823551327594,0.4083333333333333,120,-0.05903510223257957,-0.10187035957975332,-0.1519977861143279,-2.782544119411476,-0.04805729359478428,-0.7824049788411636,8.195908361133048,-0.025198620272763428
zz500,B5b_slope_div_20d,S1,0.006031323463750081,0.2560393141149874,0.01003865400764205,0.3850315941786744,0.525,120,-0.07945819919856734,-0.06234652189614753,-0.10056540842922457,-1.2514639481703917,0.006713047367260083,0.086103097733531,8.125002663677098,-0.025198620272763428
zz500,B5c_high_vol_ratio_20d,S1,-0.02344542097273715,-0.9708976811320796,-0.050391725463515,-2.057608781302998,0.39166666666666666,120,-0.045302567805477034,-0.09895056164933314,-0.13566624648117986,-1.6828193763612607,-0.049383611108945624,-0.6072867842249857,7.430257208341291,-0.025198620272763428
zz500,C1_entropy_20d,S1,0.006796354540293281,0.27944786316302084,-0.00615068064256224,-0.22679669802538716,0.5083333333333333,120,-0.04987524511389041,-0.03698675695103848,-0.049550233024097445,-0.5815543929550674,0.013914962786901963,0.17613965513725421,5.974503353903905,-0.025198620272763428
zz500,C2_entropy_diff_20d,S1,0.020770882909424807,0.9573905300366574,0.03684435520825196,1.6411186673752414,0.6083333333333333,120,-0.09738804713557081,-0.03550978538960847,-0.038443413948827,-0.4962518410302945,0.0598347769424008,0.7281561117287492,7.554195929491751,-0.025198620272763428
